,node_connectivity,degree_assortativity_coefficient,density,is_bipartite,spectral_bipartivity,global_reaching_centrality,transitivity,average_clustering,is_strongly_connected,is_weakly_connected,is_attracting_component,is_semiconnected,edge_connectivity,is_directed_acyclic_graph,is_aperiodic,diameter,radius,is_distance_regular,is_strongly_regular,is_eulerian,number_of_isolates,overall_reciprocity,is_regular,negative_edge_cycle,s_metric,is_threshold_graph,is_tournament,is_arborescence,is_branching,is_triad,wiener_index,trophic_incoherence_parameter
2016-05-27,0.0,-0.29119657291403894,0.23333333333333334,0.0,0.5000591284372194,0.2098765432098766,0.275,0.34825396825396826,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,inf,15.421055887710747
2016-05-31,0.0,-0.29119657291403894,0.23333333333333334,0.0,0.500141299661638,0.2098765432098766,0.275,0.34825396825396826,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,inf,15.735643752237083
2016-06-01,0.0,-0.29119657291403894,0.23333333333333334,0.0,0.5001443708911645,0.2098765432098766,0.275,0.34825396825396826,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,inf,16.54961870213313
2016-06-02,0.0,-0.29119657291403894,0.23333333333333334,0.0,0.5001634034631968,0.2098765432098766,0.275,0.34825396825396826,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,inf,16.86885957999474
2016-06-03,0.0,-0.3216851191359699,0.2222222222222222,0.0,0.5001036063647734,0.2098765432098766,0.21052631578947367,0.32661375661375663,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,inf,18.45179637329438
2016-06-06,0.0,-0.3216851191359699,0.2222222222222222,0.0,0.5001213770082844,0.2098765432098766,0.21052631578947367,0.32661375661375663,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,inf,18.669381186312318
2016-06-07,1.0,-0.04662006988353713,0.23333333333333334,0.0,0.500200331140751,0.2098765432098766,0.225,0.32846560846560846,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,495.0,0.0,0.0,0.0,0.0,0.0,inf,19.511729396289322
2016-06-08,1.0,-0.04662006988353713,0.23333333333333334,0.0,0.500259257789031,0.2098765432098766,0.225,0.32846560846560846,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,495.0,0.0,0.0,0.0,0.0,0.0,inf,20.363559135027295
2016-06-09,0.0,-0.06950480468569159,0.2111111111111111,0.0,0.6840539459098538,0.33333333333333326,0.25,0.3114814814814815,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,inf,0.995186994670865
2016-06-10,0.0,-0.06950480468569159,0.2111111111111111,0.0,0.7105660436226139,0.33333333333333326,0.25,0.3114814814814815,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,inf,0.9899020130252982
2016-06-13,0.0,-0.03602580371650065,0.2111111111111111,0.0,0.6755695093788765,0.33333333333333326,0.2777777777777778,0.21611111111111114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,inf,1.0242515324670194
2016-06-14,0.0,-0.03602580371650065,0.2111111111111111,0.0,0.6794847492151695,0.33333333333333326,0.2777777777777778,0.21611111111111114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,inf,1.0240736476359618
